DATE,STATE,TMAX,TMIN,TAVG,EMXT,EMNT,DX90,DT32,PRCP,SNOW,AWND
1984,AK,4.91313953488372,-3.9940000000000007,0.6506172839506172,24.466279069767435,-31.725882352941195,0.0,198.94117647058823,1031.3663366336634,2016.010989010989,4.355555555555557
1984,AL,24.07687499999999,10.370961538461536,17.179999999999996,36.43124999999998,-11.311538461538458,62.3125,54.65384615384615,1287.7628318584073,10.140350877192983,3.3
1984,AR,22.219589041095887,9.362463768115944,15.80307692307692,38.12191780821916,-17.34347826086957,61.38356164383562,70.14492753623189,1563.1796747967485,106.56363636363636,3.0999999999999996
1984,AZ,24.86409999999999,8.381121495327102,17.144382022471913,40.31799999999999,-7.667289719626168,98.03,77.30841121495327,462.30193548387115,157.54545454545453,3.0749999999999997
1984,CA,22.195479452054816,8.021271929824557,15.171372549019603,39.34383561643835,-4.9671052631578965,62.95890410958904,50.68421052631579,511.08772845953007,300.6585365853659,3.538461538461538
1984,CO,14.44296610169492,-1.4449999999999998,6.6841,32.802542372881355,-30.95000000000002,21.194915254237287,204.23636363636365,589.0343137254897,2324.062015503876,3.9
1984,CT,15.383750000000003,4.0125,9.543571428571427,34.60625,-27.337499999999995,9.1875,130.0,1331.2173913043478,1012.9411764705883,4.25
1984,DE,18.4175,7.38125,12.89875,36.0375,-20.675,18.5,90.375,1137.9875000000002,212.125,3.9
1984,FL,27.343164556962016,16.113506493506495,21.77305555555556,35.662025316455676,-0.8350649350649356,72.35443037974683,7.584415584415584,1263.2095744680848,0.0,3.5153846153846158
1984,GA,24.145000000000014,10.981500000000002,17.600212765957437,37.01428571428571,-8.781666666666668,56.910714285714285,47.2,1233.6516129032257,10.357723577235772,3.0857142857142854
1984,HI,27.143703703703704,18.315555555555555,22.729999999999997,31.444444444444443,12.088888888888889,18.925925925925927,0.0,1217.2930434782613,0.0,5.0
1984,IA,14.936407766990287,3.3122448979591828,9.107708333333335,37.05339805825241,-28.346938775510203,20.893203883495147,151.07142857142858,939.3218309859158,872.3984375,4.9799999999999995
1984,ID,13.384125000000001,-0.48097560975609754,6.5914864864864855,36.22625000000001,-27.401219512195112,22.4875,189.67073170731706,742.0578571428572,1975.0666666666666,3.566666666666667
1984,IL,16.810361445783137,5.513414634146343,11.172894736842107,36.549397590361416,-27.24390243902439,29.265060240963855,116.48780487804878,1064.2191489361699,571.175925925926,4.6
1984,IN,16.49162162162162,5.194084507042254,10.871000000000002,34.805405405405416,-28.902816901408457,19.81081081081081,118.46478873239437,1042.7744186046516,673.439393939394,4.175
1984,KS,19.30282608695653,5.6959090909090895,12.479036144578311,41.49347826086956,-24.97159090909091,70.70652173913044,129.39772727272728,787.0082568807339,600.781512605042,5.583333333333333
1984,KY,19.413469387755104,7.079565217391304,13.198809523809519,34.80204081632653,-26.326086956521735,30.102040816326532,95.04347826086956,1331.477519379845,339.3777777777778,3.65
1984,LA,25.10657142857143,13.365428571428572,19.236571428571427,36.134285714285696,-7.637142857142858,68.88571428571429,28.557142857142857,1456.8632653061227,0.8378378378378378,3.575
1984,MA,14.834722222222224,3.733030303030303,9.289090909090909,34.19722222222222,-26.593939393939383,8.194444444444445,134.66666666666666,1288.9272727272728,1346.6833333333334,4.35
1984,MD,18.158888888888892,6.931578947368419,12.513055555555557,34.81944444444445,-20.96315789473684,17.5,96.36842105263158,1157.1833333333336,604.2424242424242,3.8
1984,ME,12.002727272727272,0.21970588235294114,6.081818181818182,33.3939393939394,-31.779411764705884,3.606060606060606,170.61764705882354,1130.1666666666665,2319.3142857142857,3.8333333333333335
1984,MI,12.875172413793104,1.6453932584269666,7.281084337349395,32.74597701149424,-29.19887640449438,4.597701149425287,159.12359550561797,813.0644067796608,1430.9115044247787,4.199999999999999
1984,MN,11.746200000000002,0.003163265306122456,5.910760869565218,35.343,-34.50510204081634,8.7,174.18367346938774,745.5326086956521,984.1636363636363,4.779999999999999
1984,MO,18.919743589743586,6.301081081081084,12.61205882352941,40.13461538461536,-24.54324324324324,45.794871794871796,110.41891891891892,1180.2756097560973,423.6195652173913,4.5600000000000005
1984,MS,23.892500000000002,10.98584615384615,17.45131147540984,35.93382352941175,-11.815384615384618,61.36764705882353,52.16923076923077,1401.9008196721315,19.272,2.9
1984,MT,13.481750000000002,-0.6981818181818182,6.535496688741723,36.792500000000004,-30.981818181818188,24.31875,193.53939393939393,484.781818181818,1961.794642857143,4.075
1984,NC,21.077717391304354,8.22945652173913,14.62524390243902,34.547826086956526,-13.100000000000003,25.75,80.47826086956522,1311.4585185185194,103.0,3.6333333333333333
1984,ND,11.531515151515153,-1.3806666666666667,5.039814814814816,37.97878787878791,-34.46166666666666,21.393939393939394,194.93333333333334,409.37473684210534,1064.935064935065,4.65
1984,NE,16.208823529411763,2.7713043478260877,9.484651162790694,38.440196078431384,-28.32717391304348,40.05882352941177,166.55434782608697,741.4863874345549,1113.675,4.714285714285714
1984,NH,13.086153846153845,0.49703703703703705,6.777692307692307,32.83076923076923,-32.16296296296297,5.5,171.07407407407408,1196.402272727273,2135.860465116279,2.6
1984,NJ,17.06566666666667,5.79741935483871,11.418965517241379,35.54333333333334,-23.225806451612904,14.366666666666667,110.09677419354838,1310.8063829787238,690.2571428571429,4.25
1984,NM,19.714111111111112,2.9306451612903213,11.399397590361449,34.95333333333332,-19.120430107526886,40.63333333333333,153.89247311827958,460.9591836734693,873.0566037735849,4.15
1984,NV,17.86466666666667,2.106326530612245,10.323750000000002,37.644444444444446,-19.61632653061225,49.48888888888889,163.9591836734694,431.8857142857142,611.5,3.7
