"","statelist","lboundlist","uboundlist","predvallist"
"174","utah",312467418.47112,470413363.534069,391440391.002595
"175","utah",292389860.988937,500028504.098148,396209182.543543
"176","utah",273121608.76759,525542100.69422,399331854.730905
"177","vermont",44317675.796635,60353692.5035393,52335684.1500872
"178","vermont",45018369.3086138,65585079.92036,55301724.6144869
"179","vermont",43923005.9496493,70448186.3895115,57185596.1695804
"180","vermont",41883313.5380686,72636560.4410139,57259936.9895413
"181","virginia",398752355.456764,521903961.39089,460328158.423827
"182","virginia",385584600.942973,535597723.332736,460591162.137855
"183","virginia",376661645.019045,544661390.970903,460661517.994974
"184","virginia",369103505.898259,552257171.739825,460680338.819042
"185","washington",530595751.62876,696653838.800041,613624795.214401
"186","washington",505705411.964842,721618956.164108,613662184.064475
"187","washington",479594897.338066,747673781.832424,613634339.585245
"188","washington",461659665.32214,765650486.90901,613655076.115575
"189","west virginia",132766171.564519,156099805.781445,144432988.672982
"190","west virginia",130226443.705076,163204460.615034,146715452.160055
"191","west virginia",126096728.513628,170539992.097956,148318360.305792
"192","west virginia",120114799.782575,167176920.800686,143645860.29163
"193","wisconsin",1394735345.92351,1648738500.98153,1521736923.45252
"194","wisconsin",1340895776.23613,1702600088.68457,1521747932.46035
"195","wisconsin",1299737951.01944,1743758053.21573,1521748002.11759
"196","wisconsin",1265097576.38563,1778398428.73102,1521748002.55833
"197","wyoming",528141585.433306,629961629.384691,579051607.408998
"198","wyoming",502802894.427713,613212503.246101,558007698.836907
"199","wyoming",459804362.712994,621836363.858951,540820363.285972
"200","wyoming",448206465.24545,647180417.865421,547693441.555436
